topic;partition;offset;filename
input-topic;0;2;output-20250209085800-f44faf51-d4ce-48a0-b921-f1ba979258e8.jsonl
input-topic;0;1;output-20250209085800-f44faf51-d4ce-48a0-b921-f1ba979258e8.jsonl
